class,cg06385324,cg03068376,cg26864230,cg09545123,cg09007236
-1.0,0.0280801,0.0280408,0.0294484,0.0371407,0.0365397
-1.0,0.0227903,0.0268981,0.0331675,0.0503535,0.0346269
-1.0,0.051877,0.0370248,0.0302006,0.0491982,0.0236494
-1.0,0.0205499,0.0267506,0.030078,0.0462425,0.0379643
-1.0,0.0500291,0.0455885,0.0320072,0.0505545,0.0360213
-1.0,0.0258671,0.0274097,0.0283923,0.0411026,0.025747
-1.0,0.0279683,0.0314205,0.0271792,0.0421779,0.0294554
-1.0,0.0414868,0.0403403,0.0262035,0.0588385,0.0326638
-1.0,0.0243212,0.0293634,0.0184842,0.0309273,0.0232608
-1.0,0.0230627,0.0264511,0.0240609,0.0262738,0.0379808
-1.0,0.0360504,0.0353061,0.0270121,0.0479672,0.0384561
-1.0,0.018008,0.0216812,0.0270673,0.0464984,0.0262339
-1.0,0.0366597,0.0259093,0.0142059,0.0554944,0.0503154
-1.0,0.0262157,0.0291457,0.0246783,0.0271492,0.0217627
-1.0,0.0303675,0.0333591,0.0415316,0.0534135,0.0499651
-1.0,0.0408541,0.0368456,0.0237046,0.0389342,0.0273343
-1.0,0.0412921,0.03746,0.0429522,0.054075,0.0366922
-1.0,0.0379375,0.0324554,0.0177806,0.0268745,0.0274263
-1.0,0.0282045,0.0337498,0.0277682,0.0389547,0.0402883
-1.0,0.0216077,0.0326871,0.0309217,0.0438898,0.0307805
-1.0,0.0310625,0.0335139,0.0508549,0.0530515,0.0368457
-1.0,0.0274576,0.0349178,0.0342737,0.0438706,0.0257766
-1.0,0.0485838,0.0323347,0.0103781,0.0305234,0.0361836
-1.0,0.0302865,0.0412691,0.0254297,0.0259539,0.0254402
-1.0,0.0307734,0.0285614,0.0346443,0.0375985,0.0284974
-1.0,0.0247912,0.0315804,0.0319538,0.0451941,0.0400933
-1.0,0.0257984,0.0364429,0.0229293,0.0419516,0.0364421
-1.0,0.0436197,0.0466675,0.0358413,0.0377446,0.0455197
-1.0,0.0391317,0.0312022,0.0305176,0.0196247,0.041485
-1.0,0.0221034,0.0277448,0.0221029,0.0405695,0.0352895
-1.0,0.0241194,0.0351255,0.0285468,0.0396351,0.0400314
-1.0,0.0617216,0.0249537,0.030633,0.0401405,0.0415801
-1.0,0.0385546,0.0251024,0.0275479,0.0908876,0.0351333
-1.0,0.0458629,0.0335728,0.0404224,0.0754659,0.0296466
-1.0,0.0309319,0.0324935,0.0226222,0.0186609,0.034284
-1.0,0.0690503,0.0279314,0.0177691,0.0319861,0.0233028
-1.0,0.0228745,0.0327059,0.0313702,0.0514315,0.0302598
-1.0,0.0349702,0.0289253,0.0254228,0.0493728,0.0364119
-1.0,0.0345893,0.0279189,0.0277599,0.0124481,0.0318344
-1.0,0.0280993,0.0294295,0.0248896,0.0422605,0.0209244
-1.0,0.0467795,0.0236204,0.0247226,0.0430093,0.0446544
-1.0,0.0253154,0.0336187,0.0270186,0.0428448,0.0267235
-1.0,0.0355728,0.0277164,0.0167788,0.037788,0.0265967
-1.0,0.0298837,0.0488848,0.0234361,0.0292691,0.0312439
-1.0,0.0210037,0.0275886,0.022607,0.0497647,0.0355653
-1.0,0.0278131,0.0329142,0.0166802,0.0270285,0.0272546
-1.0,0.0264909,0.0284463,0.0303078,0.0382951,0.0363975
-1.0,0.028565,0.0303614,0.0390008,0.0399313,0.0279477
-1.0,0.0349462,0.0288898,0.0306317,0.0562788,0.0312454
-1.0,0.0263212,0.0279865,0.0262581,0.0325672,0.0273794
-1.0,0.0405111,0.0293347,0.0427744,0.0384871,0.0309539
-1.0,0.0302277,0.0354982,0.0354542,0.0278332,0.0191692
-1.0,0.0382183,0.0458177,0.0318021,0.0421037,0.0218164
-1.0,0.0356773,0.0250009,0.028713,0.0291071,0.0362306
-1.0,0.05863,0.0380526,0.0333311,0.044155,0.0569851
-1.0,0.0291153,0.034814,0.0268592,0.0358855,0.0382123
-1.0,0.0357362,0.0305397,0.0251514,0.0314956,0.0393358
-1.0,0.0515732,0.0342937,0.0352671,0.0450439,0.0617856
-1.0,0.0430856,0.0291068,0.0241626,0.0398913,0.0234588
-1.0,0.0305663,0.0323997,0.0199054,0.0255143,0.0217493
-1.0,0.0299818,0.0206729,0.0280419,0.0412689,0.0387941
-1.0,0.0471494,0.0405152,0.0289545,0.0415239,0.0433601
-1.0,0.0428691,0.0307055,0.0225646,0.0385053,0.0317827
-1.0,0.0331051,0.0314058,0.0181403,0.0371307,0.03234
-1.0,0.0362026,0.0336251,0.0279734,0.0386968,0.0286898
-1.0,0.0230846,0.0359657,0.0285834,0.0394505,0.0325484
-1.0,0.0397697,0.0385292,0.033755,0.0496621,0.0465566
-1.0,0.0312377,0.0318934,0.025251,0.0546212,0.0337913
-1.0,0.0497198,0.0378147,0.0296111,0.0367999,0.0507638
-1.0,0.0309878,0.02835,0.032775,0.0392105,0.0476065
-1.0,0.0676932,0.0333946,0.0303597,0.0470087,0.0427075
-1.0,0.0325862,0.0285211,0.0162466,0.024222,0.0307487
-1.0,0.0480743,0.0312589,0.0281199,0.0498743,0.0313456
-1.0,0.0626239,0.0324652,0.0325885,0.0373861,0.0318439
-1.0,0.0312809,0.0315296,0.0647979,0.0914682,0.0233082
-1.0,0.0346088,0.031399,0.0194725,0.0183133,0.0293245
